0,0
0.010101,0.063424
0.020202,0.12659
0.030303,0.18925
0.040404,0.25115
0.050505,0.31203
0.060606,0.37166
0.070707,0.42979
0.080808,0.4862
0.090909,0.54064
0.10101,0.59291
0.11111,0.64279
0.12121,0.69008
0.13131,0.73459
0.14141,0.77615
0.15152,0.81458
0.16162,0.84973
0.17172,0.88145
0.18182,0.90963
0.19192,0.93415
0.20202,0.9549
0.21212,0.97181
0.22222,0.98481
0.23232,0.99384
0.24242,0.99887
0.25253,0.99987
0.26263,0.99685
0.27273,0.98982
0.28283,0.9788
0.29293,0.96384
0.30303,0.945
0.31313,0.92235
0.32323,0.89599
0.33333,0.86603
0.34343,0.83257
0.35354,0.79576
0.36364,0.75575
0.37374,0.71269
0.38384,0.66677
0.39394,0.61816
0.40404,0.56706
0.41414,0.51368
0.42424,0.45823
0.43434,0.40093
0.44444,0.34202
0.45455,0.28173
0.46465,0.22031
0.47475,0.158
0.48485,0.095056
0.49495,0.031728
0.50505,-0.031728
0.51515,-0.095056
0.52525,-0.158
0.53535,-0.22031
0.54545,-0.28173
0.55556,-0.34202
0.56566,-0.40093
0.57576,-0.45823
0.58586,-0.51368
0.59596,-0.56706
0.60606,-0.61816
0.61616,-0.66677
0.62626,-0.71269
0.63636,-0.75575
0.64646,-0.79576
0.65657,-0.83257
0.66667,-0.86603
0.67677,-0.89599
0.68687,-0.92235
0.69697,-0.945
0.70707,-0.96384
0.71717,-0.9788
0.72727,-0.98982
0.73737,-0.99685
0.74747,-0.99987
0.75758,-0.99887
0.76768,-0.99384
0.77778,-0.98481
0.78788,-0.97181
0.79798,-0.9549
0.80808,-0.93415
0.81818,-0.90963
0.82828,-0.88145
0.83838,-0.84973
0.84848,-0.81458
0.85859,-0.77615
0.86869,-0.73459
0.87879,-0.69008
0.88889,-0.64279
0.89899,-0.59291
0.90909,-0.54064
0.91919,-0.4862
0.92929,-0.42979
0.93939,-0.37166
0.94949,-0.31203
0.9596,-0.25115
0.9697,-0.18925
0.9798,-0.12659
0.9899,-0.063424
1,-2.4493e-16
